,ans_index,answer,sent_numbers,get_multiqa_score,score_label,status,similarity_to_true,get_mean_all_results
0,1,abstraction is generalizing concepts. engineers can use this for calculating abstract things. this helps for engineers to solving abstract problems. abstraction is useful for think easily,4,0.8035311698913574,0.155825674533844,0,0.8071515099858917,0.5888361181370311
1,2,i vested zero. and then invested number. first of all binary system. then we calculate some science and path problems with this invested.,4,0.19511213898658752,0.11117024719715118,0,0.7712783084023609,0.35918689819536653
2,3,there is a famous line today s abstract path is tomorrow s applied. which means that we developed path .and better way to express things with abstract path.,2,0.3993949294090271,0.3876972794532776,1,0.7336999703604622,0.506930726407589
3,4,abstraction is one of the greatest tool of the engineer. by abstraction a problem we can solve little pieces of a bigger problem and connect all of the at the end.,2,0.7812587022781372,0.30181220173835754,1,0.8925128669053989,0.6585279236406313
4,5,"before abstract path is today s prove science. some ideas can be abstract now, however it might be prove by other scientists in the future. so it is important to get a development.",3,0.4578796625137329,0.17593719065189362,0,0.7889857326502467,0.4742675286052911
5,6,with abstraction we can understand things that difficult to understand approximation law by infinity instant change abstract predict interest approximation senate tragedy democracy,1,0.45490309596061707,0.16194215416908264,0,0.7818515231354933,0.4662322577550643
6,8,"zero is representative abstraction. thus, calculating and engineering are better",2,0.570014476776123,0.5975907444953918,1,0.8685218766714402,0.6787090326476517
7,9,"nothingness or having nothing. it gives rise the ability for a common person to be able to do mathematics isn t. before it, mathematicians struggled to perform the simplest arithmetic calculations zero helps generalized nothingness",4,0.3293953239917755,0.06767181307077408,0,0.7300136437851844,0.3756935936159113
8,10,"it helps us to make calculations, calculating more easily. it helps us to generalized things. for instance before the invention of , they just use nothing. invention of zero helps generalizing and representing nothingness. we observe nature and convert it to theory information.",5,0.5148140788078308,0.13028289377689362,0,0.7686408778212014,0.4712459501353086
9,11,today s abstract path is tomorrow s applied path. everything is more easier with abstract path.,2,0.399162232875824,0.5747441649436951,1,0.653295879658112,0.5424007591592104
10,12,with abstraction you can understand examples and problem time in engineering process. through abstraction when you solved problem so you will be able translate problem which solved from one branch of engineering into another. so you will gain time and money because you won t spend money and time to solve them again,3,0.7507274150848389,0.052644748240709305,0,0.7238249548192494,0.5090657060482658
11,13,abstraction is important because algorithm .engineers can see something but they don t understand something. what can they understand send to some object. they can easily use to understand and predict.,3,0.8159777522087097,0.1525484323501587,0,0.6430555756076117,0.5371939200554934
12,15,because abstraction helps us to think that we will do before doing it. it shows us what we do actually but not completed. it decreases the cost of product.,3,0.7206289768218994,0.19534721970558167,0,0.5577898731193862,0.49125535654895575
13,16,"how does abstraction helps us do engineering better old people knows to how can we add something from past and they are really good searched. because of that their engineering was good. egypt, greeks, rome",4,0.8257813453674316,0.347720742225647,1,0.6855468393765818,0.6196829756565535
14,17,"to solve any problem in life first you gutta abstract it to the formal path language. and also abstraction helps us to put things in groups nature numbers,full numbers those all are kind a abstraction. even one of the most significant invention of path the zero is the most important abstraction example in path. it helped us to create based system with that way we could define really big quantities and got many much benefits.",4,0.571404755115509,0.11081427335739136,0,0.8252365633190041,0.5024851972639682
15,18,"abstraction help us when we need calculate baths physics problem .without abstraction we cannot do this thing .for example if we calculate diameter a radius or something like that we need abstraction.and this thing help us ,engineer,to creative things for example coming and thinking about coming deep thinking all of this thing s abstraction",3,0.7156686186790466,0.1402757316827774,0,0.633341613120951,0.4964286544942584
16,20,"for example, zero. zero actually meanings nothing, it is abstract baths. but with zero you can do many calculations for engineering easily. on the other and we used abstraction to solve some physical problems. we abstract the physical problem and solve them with using some mathematical methods. it is quite important for engineering. we can solve some problems better with abstraction, it is really important for the engineering.",7,0.7001497745513916,0.3093963861465454,1,0.7952156262146143,0.6015872623041837
17,21,solving problems easily with abstraction. engineering handle the problems if problems selected one by one. what steps are taken to calculate the distance between the earth and moon in ancient greece how romans handle conflict of interest in government what is the role of the theater in the ancient greece and rome how does abstraction helps us do engineering better what was proposed by the greeks to account for the retrograde movement of planets writing earth,3,0.5589349865913391,0.31644484400749207,1,0.8954106023856772,0.5902634776615028
18,22,abstraction is generalizing complex things. abstract baths helps us to understand engineering better. for example and binary digits makes easy to understand computer. and people develop new computer language using abstraction. and we can understand computer more easy.,5,0.7746879458427429,0.31108272075653076,1,0.7648560176003175,0.6168755613998638
19,23,"things in real world can be represented by abstraction. i mean color of shoe has no meaning for computer unless we teach it via usage of abstraction technique. for example, invention of zero is also type of abstraction that is comes from ind an religion nirvana . anything you see in the real world can be represented on computer via using abstraction. we can represent their functions and ability. being representetif of something allows us to get everything from real world via abstraction. for example let s assume you have a car. i n computer science you can represent it with usage of classes, also you can create example of that class. class can have field and functions of it represent thing.",9,0.43211424350738525,0.05178595706820488,0,0.8612026705609872,0.44836762371219246
20,24,its help to imagine.,1,0.19993677735328674,0.3482290208339691,1,0.6304493806373481,0.392871726274868
21,25,abstraction is helping us for be good engineer.thanks to abstraction we can use thinking more analytical.and again thanks to abstraction we can use zero in our current counting system.because abstraction is helping us to think about nothingness and existence.,1,0.7021487951278687,0.34673020243644714,1,0.6915943686532063,0.5801577887391741
22,26,how does abstraction helps us do engineering better it makes simple do that it help us the solutions for questions abstraction is a thinking freely,1,0.8645218014717102,0.6828302145004272,1,0.6136405667944902,0.7203308609222092
23,27,with using abstraction we can shorten the average time we re going to spend on a work. its simply more efficient,2,0.6751104593276978,0.579437792301178,1,0.7087783095847472,0.6544421870712077
24,28,"how does abstraction helps us do engineering better rome s civilization engineering for military. greeks used to path,observe and explain for science. cause and effect aristotle use the path prove observe nature and explain. science can find all. aristotle deductive t mdengelim .",3,0.7729607820510864,0.6738190650939941,1,0.7781575817780761,0.7416458096410522
25,29,how does abstraction helps us do engineering better. improve establish invented observation approximation approximate politic economy infrastructure law people conflict of interest play rule predict abstract conclusion astronomy galilee newton humanity democrat destruction public administration concrete julian calendar gregorian calendar punishment surgery path tragedy theater formal logical discuss war perform science monarchy powers of kings nature philosophy approach physics arbitrarily classification audience rights of law establish invented try what was proposed by the greeks to account for the retrograde movement of planets writing earth what is the role of the theater in the ancient greece and rome what steps are taken to calculate the distance between the earth and moon in ancient greece how romans handle conflict of interest in government view,6,0.6533536314964294,0.7647942304611206,1,0.8917037759484403,0.7699505459686634
26,30,"if there is a problem and we have to solve it , we should abstract it in our mind. so this helps us to solve this problem easily . an engineer is always going to face many of problems and wants to solve them . because it is his job . to make easy the solutions , abstraction is very helpful selection . for instance an civil engineer might face to a problem when construct an build . if he she use abstraction he think the problem in his her mind as abstract the problem will be easier to solve .",7,0.6736838221549988,0.12786300480365753,0,0.7660243944820373,0.5225237404802312
27,31,for example in real world the thinks aren t perfectly shaped. but in geometry we can assume that there are perfect shapes and can do calculations on them.,2,0.31185129284858704,0.07462950050830841,0,0.7259957076589959,0.3708255003386305
28,32,abstraction is important because people use that to improve science.i f people improved the science engineering would be better.,1,0.7754080295562744,0.3121975362300873,1,0.7884594995259394,0.625355021770767
29,33,"abstraction helps us do engineering better ,zero, limit, infinity. we know something there but we do not know how much. approximation science inconsistency arbitrary.inconsistency between them.induction of ideas.rome ancient greece.function.",3,0.7334980368614197,0.7617417573928833,1,0.6400548728354183,0.7117648890299071
30,34,abstraction helps us think better of problem and find best solution way . engineering better,2,0.8280553221702576,0.5260748863220215,1,0.7136570144371138,0.689262407643131
31,35,it provides us thinking more efficient and then we do engineering better.,1,0.6049181222915649,0.7649977207183838,1,0.5341121123834407,0.6346759851311298
32,36,abstraction helps us do engineering better.because abstraction is important at the theater.example romans theater and greeks theater is different.greek s theater platform is circle.all of them helps us do engineering better.,1,0.7555015087127686,0.8020713925361633,1,0.753170949795374,0.7702479503481019
33,37,the formal language to computers is binary which is passing on zero and ones and zero is an abstraction,1,0.39078986644744873,0.15254083275794983,0,0.8861430815617698,0.4764912602557228
34,39,we can calculate easier with abstraction.today some things easier to understand with abstraction. we can easily imagine the some things.abstraction make easier the engineering.,2,0.7609168291091919,0.4260338246822357,1,0.6576919834402599,0.6148808790772292
35,40,"in early ages there were very little amounts of knowledge and engineering systems so abstraction helped them with creativity, solving problems, creating something. all of them could be exist with thinking abstract.",2,0.6008579730987549,0.6747229695320129,1,0.8474875207109692,0.7076894877805789
36,41,"zero is the most abstraction. zero had been invented for easier calculations and abstract mathematics. for example, when use computer most users unaware the inner workings in the computer. i can learn this because of abstraction.",5,0.5776732563972473,0.07714512199163437,0,0.8737389411068113,0.5095191064985644
